,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count
0,2023-02-28 23:59:56+00:00,https://twitter.com/theamisopius/status/1630719481457590273,theamisopius,Twitter for Android,Port Harcourt,"Here's an Anonymous claim about the elections. This was published on 19th September 2022 🤯🤯

PLEASE READ and RETWEET 😳

BVAS Bornu INEC Chairman APGA Nyesom Wike National Coalition Center Obio-Akpor Shameless Muslim Muslim Rigging Rufai #2023GeneralElections #TinubuIsNotComing https://t.co/5w9m2XfrD0",97,68,7,19
1,2023-02-28 23:59:50+00:00,https://twitter.com/MOkwuje/status/1630719456568647680,MOkwuje,Twitter for Android,,#2023GeneralElections https://t.co/xZEYRbUyVa,4,1,0,0
2,2023-02-28 23:59:26+00:00,https://twitter.com/iam_kcee_kelly/status/1630719356719058945,iam_kcee_kelly,Twitter for iPhone,"Leeds, England","Democracy belongs  to those who can practice it . Yussuf Datti 2023.

#2023GeneralElections",1,0,0,0
3,2023-02-28 23:59:02+00:00,https://twitter.com/panachefm/status/1630719256626069505,panachefm,Radio.co now playing,"Ikoyi, Nigeria","Stonebwoy - Critical ft. Zlatan
 
#Listen live via  https://t.co/H5oJ2oxLCs #ElectionResult  #TinubuCannotWin #protest #2023GeneralElections #PaulVsFury #Messi #ObiWon #Falz #90DayFiance #ReferendumNow #INECElectionResult #FuryPaul",1,1,0,0
4,2023-02-28 23:55:35+00:00,https://twitter.com/dml2dworld/status/1630718388405141504,dml2dworld,Twitter for Android,,"Asiwaju Is Not Fit To Rule Nigeria ✅
°
°
Ngesome Wike Buhari 11th of March Shameless National Collation Centre Igbo RCCG Queen Elizabeth Banky #2023GeneralElections Emefiele Yoruba Obio-Akpor Alhassan Ado Doguwa https://t.co/myVLRYsdcF",37,12,0,3
5,2023-02-28 23:55:30+00:00,https://twitter.com/Kingrapheal_/status/1630718365495877632,Kingrapheal_,Twitter for Android,Nigeria,"CBN &amp; POS OPERATORS We never forget you people 
Make we finish with INEC for now.

#2023GeneralElections",0,0,0,0
6,2023-02-28 23:53:29+00:00,https://twitter.com/panachefm/status/1630717858903650304,panachefm,Radio.co now playing,"Ikoyi, Nigeria","Burna Boy - Kilometre
 
#Listen live via  https://t.co/H5oJ2oxLCs #ElectionResult  #TinubuCannotWin #protest #2023GeneralElections #PaulVsFury #Messi #ObiWon #Falz #90DayFiance #ReferendumNow #INECElectionResult #FuryPaul",0,0,0,0
7,2023-02-28 23:53:23+00:00,https://twitter.com/NewsOneNG/status/1630717834308222979,NewsOneNG,Twitter Web App,Nigeria,"100 Happy New Month Of March Messages 2023, Prayers, Quotes For All 
#HappyNewMonth #MarchWishes #WelcomeMarch
#2023GeneralElections #electionresults2023 
#NigerianElections2023 #BBTitans
https://t.co/iqGbZNiSa6",0,0,0,0
8,2023-02-28 23:52:47+00:00,https://twitter.com/dooshima_ty/status/1630717680788406274,dooshima_ty,Twitter for iPhone,"Lagos, Nigeria",They are advising you to go to court because they know it’s rigged there too. The fact is that conventional ways won’t work.  #2023GeneralElections #TinubuIsHere #TinubuIsNotComing https://t.co/n3JekCQaI5,23,5,0,0
9,2023-02-28 23:52:39+00:00,https://twitter.com/Benjazzzy/status/1630717649624743936,Benjazzzy,Twitter for iPhone,"Lagos, Nigeria","#2023GeneralElections INEC and my babe na the same behavior them get
Them no get truth for mouth!
One single truth them no get for mouth",3,0,0,0
10,2023-02-28 23:51:04+00:00,https://twitter.com/KAFTAN_TV/status/1630717250167504896,KAFTAN_TV,Twitter Web App,,"National Collation Centre: TARABA BORNO 
 STATE PRESIDENTIAL RESULTS

#electionresults2023 #INECElectionResult #2023GeneralElections #Presidentialelection2023  #ElectionResults #Inecresults #2023GeneralElections #NigeriaElections2023  #BVAS https://t.co/bsrJn7zV3I",9,1,0,0
11,2023-02-28 23:51:00+00:00,https://twitter.com/KAFTAN_TV/status/1630717233855881217,KAFTAN_TV,Twitter Web App,,"National Collation Centre: RIVERS BORNO 
 STATE PRESIDENTIAL RESULTS

#electionresults2023 #INECElectionResult #2023GeneralElections #Presidentialelection2023  #ElectionResults #Inecresults #2023GeneralElections #NigeriaElections2023  #BVAS https://t.co/EHqcvALowg",7,1,0,1
12,2023-02-28 23:50:01+00:00,https://twitter.com/Solidskid_/status/1630716986362675200,Solidskid_,Twitter for Android,SKID 🐉,"Freestyle on @iamlibianca people 

#2023GeneralElections #Davido #TinubuIsNotComing #ASUU Kodak Burna Boy Shameless Rigging Deadpool3 National Collation Centre 11th of March Dino RCCG #ObilsWinningEverywhere Mahmood Yakubu Nollywood Banky Ayra Starr Igbo Obasanjo https://t.co/ZWBOtlmJmK",11,2,1,1
13,2023-02-28 23:49:20+00:00,https://twitter.com/chronicle_ng/status/1630716814429650945,chronicle_ng,Twitter for Android,Everywhere,"Presidential election result in Rivers State

Rivers State 

APC - 231,591
Labour Party - 175,071
PDP - 88,468
NNPP - 1,322

#2023GeneralElections
#ElectionResults
#electionresults2023
#ElectionResult
#INECElectionResult https://t.co/oM2jXs3OQi",3,0,0,0
